,4ZSD_AD06_VBELN,4ZSD_AD06_POSNR,4ZSD_AD06_UEPOS,0PLANT,0PLANT___T,0UPD_DATE,4ZSD_AD06_ERDAT,4ZSD_AD06_GEWEI,4ZSD_AD06_GEWEI___T,4ZSD_AD06_GRKOR,4ZSD_AD06_GSBER,4ZSD_AD06_KONDM,4ZSD_AD06_LPRIO,4ZSD_AD06_MATKL,4ZSD_AD06_MATNR,4ZSD_AD06_MFRGR,4ZSD_AD06_PRCTR,4ZSD_AD06_PSTYV,4ZSD_AD06_ROUTE,4ZSD_AD06_STKEY,4ZSD_AD06_STLNR,4ZSD_AD06_STLTY,4ZSD_AD06_VOLEH,4ZSD_AD06_VOLEH___T,4ZSD_AD06_VSTEL,4ZSD_AD06_ZZCARTIND,4ZSD_AD06_ZZCONF_DELV,4ZSD_AD06_ZZCONF_MAD,4ZSD_AD06_ZZCONPATH,4ZSD_AD06_ZZCUSTREQDATE,4ZSD_AD06_ZZLINEPACKAGE,4ZSD_AD06_ZZMPBLDDATE,4ZSD_AD06_ZZORGDLRDLVYDATE,4ZSD_AD06_ZZPACKVORSCHR,4ZSD_AD06_ZZPRCQTE,4ZSD_AD06_ZZTUSPCLIND,4ZSD_AD06_BRGEW,4ZSD_AD06_KBMENG,4ZSD_AD06_NTGEW,4ZSD_AD06_VOLUM,4ZSD_AD06_ZZLINEVOLUME,4ZSD_AD06_ZZLINEWEIGHT
0,0007227476,000010,000000,Z100,GR-Unsupported Products,00000000,20180625,LB,Pound,000,9020,01,50,P09,SPOC,BC,P00154,ZRON,TS01,,,,CF,Cubic foot,EP00,C,20200625,20200619,GM2EP,20200625,00002,00000000,20180104,C,,,100.002000000000000000,2.000000000000000000,100.002000000000000000,120.002000000000000000,120.004000000000000000,100.004000000000000000
1,0007236281,000428,000390,5500,SC Wood Plant,20200710,20200602,LB,Pound,015,9020,,50,T01,215073_PP,BB,P00007,ZSL,TS01,1,01521905,M,CF,Cubic foot,EP00,C,20200707,20200630,GM2EP,20200707,00001,20200625,00000000,C,,,343.046000000000000000,22.000000000000000000,343.046000000000000000,64.592000000000000000,145.333000000000000000,391.232000000000000000
2,0007236284,000200,000190,8300,AMEX Plant,20210126,20180704,LB,Pound,009,9020,,50,T01,TS5HLB2442T001,BB,P00179,ZSL,TS01,1,00255775,M,CF,Cubic foot,EP00,C,20210223,20210215,SC2EP,20210223,00001,20210211,20201005,C,16Z06806,,50.804000000000000000,1.000000000000000000,50.804000000000000000,0.001000000000000000,5.402000000000000000,57.436000000000000000
3,0007238833,000180,000000,8300,AMEX Plant,20201103,20180706,LB,Pound,002,9020,04,50,P01,HS2L3,CH,P00179,ZSH,TS01,5,,M,CF,Cubic foot,EP00,C,20201228,20201216,SC2EP,20201228,00000,20201215,20191206,,18Z02615,,0E-18,4.000000000000000000,0E-18,0E-18,0E-18,0E-18
4,0007238834,000350,000340,6000,Kentwood Plant,20201105,20200805,LB,Pound,015,9020,,50,T01,157205002002,BC,P00011,ZSL,TS01,1,01281665,M,CF,Cubic foot,EP00,C,20201106,20201102,GM2EP,20201106,00002,20201111,00000000,C,18Z02615,,104.166000000000000000,2.000000000000000000,104.166000000000000000,0.002000000000000000,2.706000000000000000,107.826000000000000000
5,0007401423,001000,000990,8300,AMEX Plant,20200601,20181128,LB,Pound,039,9020,01,50,T01,8231283001,BB,P00179,ZSL,TS01,1,01308885,M,CF,Cubic foot,NG00,C,20200618,20200610,SC2NG,20200616,00001,20200609,20190502,C,18Z06943,,107.695000000000000000,1.000000000000000000,107.695000000000000000,0.999000000000000000,18.957000000000000000,108.424000000000000000
6,0007403954,000010,000000,8300,AMEX Plant,20200812,20181130,LB,Pound,009,9020,01,50,P01,BFRQ36,BB,P00179,ZSH,TS01,5,,M,CF,Cubic foot,EP00,C,20200811,20200803,SC2EP,20200811,00000,20200730,20190822,C,17Z06095,,0E-18,2.000000000000000000,0E-18,0E-18,0E-18,0E-18
7,0007403954,000180,000170,8900,Reynosa Plant (US),20200729,20181130,LB,Pound,017,9020,01,50,T01,201025_CHR,CH,P00185,ZSL,TS01,1,01289106,M,CF,Cubic foot,EP00,U,20200811,20200803,RT2EP,20200811,00008,20200731,20190822,U,17Z06095,,526.696000000000000000,8.000000000000000000,526.696000000000000000,131.344000000000000000,131.424000000000000000,568.616000000000000000
8,0007472635,000720,000000,8300,AMEX Plant,20200730,20190208,LB,Pound,062,9020,01,50,P01,WS2448,BC,P00179,ZSH,TS01,5,,M,CF,Cubic foot,EP00,C,20200811,20200803,SC2EP,20200811,00000,20200729,20190520,C,18Z09037,,0E-18,1.000000000000000000,0E-18,0E-18,0E-18,0E-18
9,0007507558,000220,000210,8300,AMEX Plant,20200507,20190311,LB,Pound,008,9020,,50,T01,TS5TLDS2466001,BX,P00179,ZSL,TS02,1,00245004,M,CF,Cubic foot,GM00,C,20200527,20200518,SC2GM,20200508,00001,20200514,20191223,C,18Z05340,,115.415000000000000000,1.000000000000000000,115.415000000000000000,0.001000000000000000,8.082000000000000000,131.436000000000000000
